name,color
North America,#9ACD32
Europe,#377DB8
Africa,#F5DEB3
Asia,#EE82EE
Oceania,#40E0D0
South America,#FF6347
University of Melbourne,#D8BFD8
University of Sydney,#4682B4
Australian National University,#4682B4
University of Queensland,#00FF7F
Monash University,#FFFAFA
University of New South Wales,#708090
