name,color
North America,#9ACD32
South America,#377DB8
Europe,#F5DEB3
Africa,#EE82EE
Asia,#40E0D0
Oceania,#FF6347
University of Melbourne,#D8BFD8
University of Sydney,#4682B4
Australian National University,#4682B4
University of Queensland,#00FF7F
Monash University,#FFFAFA
University of New South Wales,#708090
Wollagong University,#708090
