Name,Class,Overall Score,Teaching,Research,Citations,Industry Income,International Outlook
University of Oxford,0,78.291,90.922,98.902,86.182,34.35,88.403
Imperial College London,0,78.028,90.55,97.488,84.88,46.982,92.904
University of Cambridge,0,77.916,92.516,98.242,84.922,34.726,84.587
Stanford University,0,77.877,97.744,94.358,87.181,56.595,62.361
ETH Zürich – Swiss Federal Institute of Technology Zurich,0,77.795,87.294,97.098,84.359,74.426,97.271
Massachusetts Institute of Technology,0,76.652,95.639,86.239,87.077,93.015,75.207
Princeton University,0,76.154,93.679,92.064,87.039,45.355,69.145
University College London,0,75.021,87.041,95.759,82.791,29.171,87.809
Duke University,0,73.564,94.115,84.3,86.516,100,38.822
Carnegie Mellon University,0,73.005,83.48,95.92,87.023,50.705,46.657
École Polytechnique Fédérale de Lausanne,0,72.505,80.422,82.358,85.017,58.708,98.737
Cornell University,0,71.618,88.199,91.79,84.117,28.136,48.02
Yale University,0,71.528,95.209,83.664,84.676,36.974,47.188
"University of California, Los Angeles",0,71.38,90.442,88.309,85.914,41.279,39.232
University of Edinburgh,0,71.099,80.863,87.934,83.578,28.684,81.938
University of Michigan,0,70.08,89.862,87.173,82.912,49.477,37.449
King’s College London,0,69.789,78.185,88.111,81.465,30.428,81.538
University of Toronto,0,69.406,82.247,90.369,79.397,42.492,62.914
Katholieke Universiteit Leuven,0,68.721,73.282,90.677,77.052,99.973,57.026
California Institute of Technology,0,68.681,79.047,79.757,86.999,96.446,60.377
University of Melbourne,0,68.011,74.408,88.956,76.362,55.906,75.703
Brown University,0,67.913,82.796,71.099,84.963,26.026,42.543
University of British Columbia,0,67.603,74.951,84.677,80.101,36.306,80.244
Wageningen University and Research Center,0,67.394,72.809,79.557,79.757,100,61.453
"University of California, Santa Barbara",0,67.296,66.772,82.602,86.886,86.676,51.328
University of Washington,0,66.93,84.348,78.702,86.031,36.817,34.323
London School of Economics and Political Science,0,66.786,80.906,76.646,83.053,23.46,79.183
Georgia Institute of Technology,0,66.323,74.336,86.768,75.746,67.507,56.976
University of Chicago,1,66.298,84.128,75.476,86.532,30.743,49.128
Nanyang Technological University (NTU Singapore),1,66.223,64.397,75.506,75.688,99.678,89.152
University of Hong Kong,1,65.926,80.458,86.658,56.725,46.979,98.312
Karolinska Institute,1,65.015,75.362,80.457,79.834,23.016,63.008
Universität Heidelberg,1,64.936,80.459,81.06,73.641,61.63,50.614
"University of California, Davis",1,64.403,78.427,84.106,73.507,50.48,43.238
New York University,2,64.164,87.884,71.827,83.799,25.159,32.391
Technische Universität München (TUM),1,64.086,74.83,84.064,65.909,98.512,48.989
Hong Kong University of Science and Technology,1,63.992,65.853,82.134,71.052,61.61,72.16
Washington University in St Louis,1,63.249,74.166,68.502,86.324,27.961,29.106
University of Wisconsin-Madison,1,63.224,82.735,78.637,77.257,41.906,20.785
University of Texas at Austin,1,63.187,75.543,80.17,82.027,56.361,18.424
Delft University of Technology,1,63.178,71.936,89.738,56.725,99.896,69.719
University of Illinois at Urbana-Champaign,0,62.896,78.865,80.09,77.307,46.073,31.934
University of Manchester,0,62.784,73.585,80.051,68.583,31.882,77.324
