Class,Teaching,Research,Citations,Industry Income,International Outlook,Name
0,59.219,49.935,54.919,77.078,90.984,ƒcole Polytechnique
0,38.776,39.662,82.409,53.27,41.026,Vrije Universiteit Amsterdam
0,54.37,35.225,76.686,31.148,42.753,University of Rochester
0,59.248,54.223,49.419,99.989,21.852,Pohang University of Science and Technology
0,43.021,30.422,81.245,23.291,70.44,University of East Anglia
0,54.332,47.634,61.281,28.835,65.529,University of Nottingham
0,70.67,79.845,30.312,29.355,56.871,Freie Universit_t Berlin
0,43.178,48.154,63.151,72.209,79.684,University of Auckland
0,48.729,33.276,76.579,40.226,47.316,Boston College
0,44.961,36.014,71.511,30.394,58.716,University of Bergen
0,35.049,41.206,80.713,36.207,49.992,"University of California, Riverside"
0,43.612,32.914,72.467,25.368,74.457,University of Leicester
0,37.671,25.177,85.509,32.594,41.036,Brandeis University
0,37.687,39.716,68.844,53.458,54.338,University of Antwerp
0,38.385,33.97,69.772,29.981,81.233,University of Aberdeen
0,38.999,43.213,71.885,25.014,44.884,University of Gothenburg
0,49.29,58.511,50.698,99.128,41.96,Karlsruhe Institute of Technology
0,49.236,52.037,46.353,99.507,33.724,Technische Universit_t Dresden
0,48.988,57.579,47.24,33.451,61.208,University of Waterloo
0,30.134,28.073,86.07,23.02,42.614,"St GeorgeÕs, University of London"
0,38.832,29.236,72.032,26.651,71.564,Newcastle University
0,35.565,29.962,79.065,40.543,43.79,University of Trento
0,41.187,35.292,72.609,50.643,17.044,University of Utah
0,46.949,36.502,63.891,23.457,77.859,"Birkbeck, University of London"
0,53.409,29.514,66.864,47.374,20.443,University of Iowa
0,33.397,30.007,74.356,31.109,62.218,University of Dundee
0,49.492,16.25,79.149,24,17.04,College of William and Mary
0,43.127,18.811,82.276,36.217,11.843,Wake Forest University
0,41.156,38.699,65.811,26.233,63.867,Cardiff University
0,44.253,31.117,68.93,31.287,45.711,Pompeu Fabra University
0,54.113,48.607,57.103,25.797,35.437,University of Barcelona
0,53.757,43.328,48.118,26.796,72.497,University of Reading
0,55.406,60.251,32.786,24.986,85.796,University of Vienna
0,54.18,41.935,61.842,28.844,28.654,University of Bologna
0,50.745,39.627,58.463,32.092,47.113,Goethe University Frankfurt
0,43.005,47.12,69.937,26.589,18.482,Arizona State University
0,43.619,28.131,71.586,27.858,41.911,Stony Brook University
0,67.147,68.454,18.941,96.016,23.392,Sungkyunkwan University (SKKU)
0,37.936,40.518,59.186,41.327,39.716,University of WŸrzburg
0,46.724,50.14,63.151,26.765,41.701,Michigan State University
0,41.293,26.852,65.119,51.601,42.855,Ulm University
0,42.273,28.174,62.721,26.236,49.989,Joseph Fourier University
0,29.374,24.581,79.834,35.546,39.216,The University of Texas at Dallas
0,33.626,19.532,75.917,28.32,69.425,Medical University of Vienna
0,44.165,51.398,36.532,89.157,45.673,University of Konstanz
0,39.533,39.01,55.572,99.848,37.602,Swedish University of Agricultural Sciences
0,36.799,29.229,63.365,77.074,33.642,University of Duisburg-Essen
0,40.793,37.731,53.05,27.092,58.808,QueenÕs University Belfast
0,38.217,27.818,72.323,23.016,36.768,University of Kiel
0,29.903,30.558,71.359,35.99,49.902,Simon Fraser University
0,41.056,34.151,53.185,26.112,79.135,University of Otago
0,41.538,50.545,40.734,50.555,49.732,Tilburg University
0,57.905,33.51,40.425,26.352,56.141,ƒcole Normale Sup_rieure de Lyon
0,47.26,35.932,44.858,99.829,44.025,Mines ParisTech
0,46.889,43.465,33.72,73.862,67.116,Chalmers University of Technology
0,33.367,29.472,52.914,53.977,78.9,University of Fribourg
0,39.458,37.479,53.185,37.455,44.835,University at Buffalo
0,28.972,33.579,60.248,99.526,28.694,University of South Florida
0,40.467,44.918,42.581,38.672,66.151,The Hong Kong Polytechnic University
0,71.823,75.579,8.439,42.976,16.014,National Taiwan University
0,37.289,39.682,52.367,78.641,23.578,Colorado School of Mines
0,30.89,20.991,72.891,26.882,41.105,Universitˆ degli Studi di Trieste
0,50.47,64.209,23.46,36.583,34.453,Tel Aviv University
0,40.509,22.051,66.676,30.471,23.919,Syracuse University
0,46.515,51.941,23.175,99.651,41.299,University of Stuttgart
0,45.39,36.05,36.063,52.858,57.479,Western University
0,25.533,25.589,63.787,30.733,60.948,University of Victoria
0,18.262,14.675,83.474,23.165,52.054,University of Iceland
0,76.647,79.373,0.056,27.882,13.354,University of S‹o Paulo
0,28.046,37.356,68.32,23.016,52.181,University of Bonn
0,31.13,23.613,55.83,71.197,52.876,Vrije Universiteit Brussel
0,28.216,27.394,64.1,62.886,32.931,University of Pavia
0,42.655,42.129,35.281,47.456,44.927,QueenÕs University
0,28.12,26.605,63.471,40.062,30.879,University of Milan-Bicocca
0,40.489,49.651,23.603,98.375,43.099,Technische Universit_t Darmstadt
0,43.085,37.591,38.717,50.684,46.571,Laval University
0,29.584,21.314,51.537,33.771,92.089,University of Innsbruck
0,63.98,67.57,4.159,64.474,20.775,Tokyo Institute of Technology
0,36.786,38.003,35.594,67.431,58.39,Queensland University of Technology
0,40.295,39.896,34.344,54.828,49.931,Aalto University
0,34.582,26.806,61.281,27.147,29.24,University of Padua
0,42.6,49.432,31.236,25.579,51.115,Technion - Israel Institute of Technology
0,41.884,31.718,49.275,47.213,23.67,Iowa State University
0,22.586,14.586,71.586,23.058,45.976,University of Southern Denmark
0,28.45,23.321,47.24,27.47,85.612,Brunel University London
0,31.178,14.958,69.772,31.115,18.09,University of New Mexico
0,34.377,25.7,53.59,47.46,28.632,University of Turin
0,66.22,64.201,1.817,70.135,15.881,Osaka University
0,42.705,28.766,43.039,27.65,43.07,York University
0,39.265,36.139,43.039,26.695,27.928,Oregon State University
0,35.533,41.132,29.545,49.576,43.212,Bayreuth University
0,37.046,23.208,51.537,24.031,23.742,George Mason University
0,26.932,20.885,54.788,25.552,59.141,Aberystwyth University
0,59.093,60.79,0.292,94.429,10.206,Zhejiang University
0,31.706,31.549,37.781,74.774,41.123,Lappeenranta University of Technology
0,36.237,23.446,42.274,25.882,56.296,University of Turku
0,39.768,31.336,43.192,34.683,25.784,University of Milan
0,36.956,31.378,29.087,28.595,72.576,University of Bath
0,62.767,59.162,4.02,68.599,16.76,Tohoku University
0,39.991,14.103,52.092,35.48,16.958,Wayne State University
0,30.856,28.223,32.01,51.095,75.998,University of Wollongong
0,24.072,14.876,56.343,27.837,62.081,Florida Institute of Technology
0,26.008,20.388,49.705,23.759,64.972,Bangor University
0,27.301,18.986,50.557,24.79,59.448,Deakin University
0,30.846,21.512,49.131,27.706,34.291,University of Eastern Finland
0,26.036,26.512,43.952,77.168,39.043,Koç University
0,42.497,36.153,20.536,23.444,81.231,University of Essex
0,29.404,14.192,57.602,30.375,21.152,University of Salento
0,42.877,9.152,47.68,27.987,23.527,University of Nebraska Medical Center
0,27.594,25.399,56.471,26.074,23.067,University of Pisa
0,39.915,29.73,41.66,34.842,22.116,Colorado State University
0,37.515,32.668,32.165,29.837,31.205,University of Nebraska-Lincoln
0,30.671,27.836,47.534,61.95,41.32,University of Cologne
0,27.276,21.328,50.274,36.216,34.106,Bogaziçi University
0,57.847,51.643,0.067,42.708,11.487,State University of Campinas
0,26.477,20.925,52.229,31.616,31.265,Universitˆ degli Studi Roma Tre
0,50.842,45.807,3.299,69.826,27.132,Yonsei University
0,42.892,55.427,1.793,95.104,21.674,National Chiao Tung University
0,21.896,8.865,60.596,35.794,40.5,Link_ping University
0,23.229,25.773,52.092,24.196,13.584,San Diego State University
0,22.331,12.761,46.945,25.395,72.96,University of Waikato
0,22.375,18.027,50.838,23.461,47.379,Plymouth University
0,28.573,13.612,43.496,23.759,59.777,Hong Kong Baptist University
0,27.958,15.925,40.734,23.99,58.395,University of Stirling
0,48.229,46.404,6.736,42.869,13.176,National Tsing Hua University
0,34.076,25.388,23.46,40.599,62.348,University College Cork
0,29.765,17.131,45.907,33.863,23.956,University of Tampere
0,58.184,42.15,2.927,87.949,16.669,Nagoya University
0,21.874,24.932,36.063,81.885,67.988,Vienna University of Technology
0,34.387,13.762,44.708,25.7,11.851,University of Montana
0,39.858,49.082,2.287,88.902,19.216,National Taiwan University of Science and Technology
0,57.08,44.092,0.46,46.91,16.307,Hokkaido University
0,54.676,39.813,1.938,36.616,23.192,University of Tsukuba
0,36.86,30.9,24.323,50.277,25.087,Washington State University
0,26.123,19.619,29.087,26.741,75.437,Swinburne University of Technology
0,21.822,21.278,40.889,28.795,40.151,University of Crete
0,44.176,28.402,16.544,56.721,32.222,Universidad de Navarra
0,33.177,25.285,16.911,39.119,77.848,Victoria University of Wellington
0,31.54,9.093,48.118,26.918,19.092,Tulane University
0,31.078,18.489,28.783,24.153,59.401,University of Graz
0,30.404,23.95,13.652,81.234,76.072,University of South Australia
0,31.309,23.677,29.545,38.893,22.35,University of Bari Aldo Moro
0,17.592,17.211,54.259,30.145,26.98,University of Florence
0,26.091,14.934,44.858,25.627,12.511,Tokyo Metropolitan University
0,49.876,47.381,0.247,23.022,15.454,Shanghai Jiao Tong University
0,50.732,37.586,0.935,78.015,15.472,Kyushu University
0,46.712,34.617,0.009,96.616,25.808,Wuhan University
0,35.853,17.213,28.025,28.534,38.174,University of Jyv_skyl_
0,25.843,17.914,36.844,28.792,40.637,Claude Bernard University Lyon 1
0,52.989,35.445,2.316,36.001,10.082,Indian Institute of Technology Bombay
0,55.665,45.488,0.044,32.21,22.408,Novosibirsk State University
0,19.099,10.493,39.339,23.642,66.621,University of Portsmouth
0,29.7,28.684,20.266,35.552,29.793,University of Manitoba
0,36.683,29.064,17.912,36.027,20.233,University of Houston
0,19.896,18.325,37.937,30.149,32.4,University of Ferrara
0,20.737,18.04,25.05,27.247,81.711,Aston University
0,44.917,29.735,6.402,23.176,40.475,Charles University in Prague
0,23.924,23.247,16.911,31.845,86.057,Curtin University
0,21.459,21.138,15.117,29.207,95.538,University of Macau
0,28.198,24.294,29.087,36.951,16.795,Virginia Polytechnic Institute and State University
0,40.221,28.057,0.975,74.12,23.824,Sun Yat-sen University
0,24.383,23.515,17.035,25.112,46.088,Carleton University
0,24,21.55,25.196,25.429,35.041,University of Western Sydney
0,28.475,21.541,20.401,36.738,29.869,Kansas State University
0,33.08,38.068,0.351,37.894,10.49,National Sun Yat-Sen University
0,28.791,18.837,24.904,23.828,13.613,University of Seoul
0,29.508,23.91,17.533,25.96,30.619,University of Valencia
0,19.892,15.852,13.982,30.673,79.451,Murdoch University
0,40.76,24.029,3.338,53.194,16.808,Middle East Technical University
0,17.786,11.625,38.872,25.089,13.34,University of South Carolina
0,29.16,19.892,15.117,26.777,34.327,Bilkent University
0,30.264,23.453,7.013,44.905,30.46,University of Minho
0,30.173,20.027,9.877,50.788,21.208,Ewha Womans University
0,35.554,22.195,4.6,23.424,37.231,University of Warsaw
0,34.541,22.842,4.206,29.656,38.161,University of Lisbon
0,18.718,17.534,25.343,39.491,37.208,University of Bremen
0,42.08,17.643,0.275,36.321,20.521,Renmin University of China
0,35.936,19.075,0.297,75.958,7.338,"Indian Institute of Technology, Roorkee"
0,22.766,26.768,2.823,65.703,13.748,Istanbul Technical University
0,16.479,14.057,3.378,63.868,15.321,King MongkutÕs University of Technology Thonburi
0,19.893,13.419,0.002,60.135,8.018,Wuhan University of Technology
