Portal ID,Name Provided,THE Name,Country,Clinical applicable?,EDITED?,PPP / FX rate used 2013,Reason Not Ranked,Previous rank,RANK LABEL 2015–16 H,OVERALL SCORE 2015-16,TEACHING 2015-16,RESEARCH 2015-16,CITATIONS 2015-16,INDUSTRY 2015-16,INTERNAT 2015-16,Teaching Rank,Research Rank,Citations Rank,Industry Income Rank,International Outlook Rank,T3,IMPUTED T3?,T4,IMPUTED T4?,T1,IMPUTED T1?,T5,IMPUTED T5?,T2,IMPUTED T2?,R3,IMPUTED R3?,R2,IMPUTED R2?,R1,IMPUTED R1?,C1,IMPUTED C1?,E1,IMPUTED E1?,I2,IMPUTED I2?,I3,IMPUTED I3?,I1,IMPUTED I1?,Number of papers,Number of internat papers,FWCI citation score,FWCI citation score (country-norm),:clinical:academicStaff:international,EDITED?,:clinical:academicStaff:total,EDITED?,:clinical:academicStaff:women,EDITED?,:clinical:doctoralNewStudentIntake:total,EDITED?,:clinical:doctoratesAwarded:total,EDITED?, :clinical:institutionalIncome:total ,EDITED?,:clinical:masterDegreesAwarded:total,EDITED?,:clinical:masterNewStudentIntake:international,EDITED?,:clinical:masterNewStudentIntake:total,EDITED?,:clinical:masterNewStudentIntake:women,EDITED?, :clinical:researchIncome:industryAndCommerce ,EDITED?, :clinical:researchIncome:total ,EDITED?,:clinical:researchStaff:total,EDITED?,:clinical:students:international,EDITED?,:clinical:students:total,EDITED?,:clinical:students:women,EDITED?,:clinical:undergraduateDegreesAwarded:total,EDITED?,:clinical:undergraduateNewStudentIntake:international,EDITED?,:clinical:undergraduateNewStudentIntake:total,EDITED?,:clinical:undergraduateNewStudentIntake:women,EDITED?,SSR,Doc : ug,Doc : staff,Institutional Income per staff (provided currency),Institutional Income per staff PPP'd,Research Income per staff (provided currency),Research Income per staff (PPP'd),Industry Income per staff,Industry Income per staff (PPP'd),Internat Staff,Internat Students,Female students
i-48052667,Ajou University,Ajou University,Korea Republic of,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2130,381,28.75,39.56,16,,512,,176,,32,,19,,0,Edited,90,,3,,127,,75,,7552112000,,25820954000,,25,,8,,961,,671,,178,,0,,183,,151,,1.876953125,9.368421053,26.94736842,0,#REF!,50431550.78,#REF!,14750218.75,#REF!,0.03125,0.008324662,0.698231009
i-90429813,Al Akhawayn University,Al Akhawayn University,Morocco,FALSE,,#REF!,Institution reported subject not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#DIV/0!
i-84427123,Al-Farabi Colleges,Al-Farabi College for Nursing and Dentistry,Saudi Arabia,TRUE,,#REF!,Your institution did not meet the publication threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,210,,89,,0,,0,,164600000,,0,,0,,0,,0,,65000,,5210000,,41,,822,,2744,,1345,,41,,27,,240,,92,,13.06666667,#DIV/0!,#DIV/0!,783809.5238,#REF!,24809.52381,#REF!,309.5238095,#REF!,0.776190476,0.299562682,0.49016035
i-04405031,Al-Farabi Kazakh National University,Al-Farabi Kazakh National University,Kazakhstan,TRUE,,#REF!,Your institution did not meet the publication threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,81,,58,,4,,5,,1476253000,,27,,5,,34,,27,,78890000,,132456000,,7,,38,,367,,336,,131,,19,,114,,92,,4.530864198,26.2,16.2,18225345.68,#REF!,1635259.259,#REF!,973950.6173,#REF!,0.222222222,0.103542234,0.915531335
i-29260373,Alexandria University,Alexandria University,Egypt,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1490,740,16.62,31.52,0,,2046,,817,,246,,89,,404581610,,777,,44,,1051,,571,,6029790,,40198600,,737,,258,,18655,,10467,,3373,,18,,3989,,1462,,9.117790811,37.8988764,22.98876404,197742.7224,#REF!,19647.40958,#REF!,2947.111437,#REF!,0,0.013830072,0.56108282
i-74680493,Alexandru Ioan Cuza University,Alexandru Ioan Cuza University,Romania,TRUE,,#REF!,Too many missing datapoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,27,,8,,0,,0,Edited,2440707.83,,80,,0,,133,,0,,0,,0,Edited,0,,0,,934,,133,,390,,8,,171,,15,,34.59259259,#DIV/0!,#DIV/0!,90396.5863,#REF!,0,#REF!,0,#REF!,0,0,0.142398287
i-39293841,Alfaisal University,Alfaisal University,Saudi Arabia,TRUE,,#REF!,Your institution did not meet the publication threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Edited,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Edited,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#DIV/0!
i-54594984,Aligarh Muslim University,Aligarh Muslim University,India,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,897,143,7.31,16.88,0,Edited,301,,80,,8,,7,,0,Edited,160,,0,,180,,72,,0,Edited,0,Edited,23,,0,Edited,1630,,665,,234,,0,,249,,138,,5.415282392,33.42857143,43,0,#REF!,0,#REF!,0,#REF!,0,0,0.40797546
i-49413952,Allameh Tabataba'i University,Allameh Tabataba ’i University,Iran Islamic Republic of,TRUE,,#REF!,Your institution did not meet the publication threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,15,,5,,8,,3,,39650900000,,35,,0,,65,,37,,0,,0,,0,,0,,163,,91,,36,,0,,90,,49,,10.86666667,12,5,2643393333,#REF!,0,#REF!,0,#REF!,0,0,0.558282209
i-52917123,American University in Bulgaria,American University in Bulgaria,Bulgaria,FALSE,,#REF!,Institution reported subject not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#DIV/0!
i-44333102,American University in Dubai,American University in Dubai,United Arab Emirates,FALSE,,#REF!,Institution reported subject not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,241170475,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#DIV/0!
i-93306713,American University of Beirut,American University of Beirut,Lebanon,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1659,935,34.64,40.88,96,,280,,101,,95,,87,,0,Edited,73,,11,,41,,34,,0,Edited,661991,,131,,147,,851,,515,,85,,21,,112,,82,,3.039285714,0.977011494,3.218390805,0,#REF!,2364.253571,#REF!,0,#REF!,0.342857143,0.172737955,0.605170388
i-46399922,American University of Sharjah,American University of Sharjah,United Arab Emirates,FALSE,,#REF!,Institution reported subject not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#DIV/0!
i-67379501,American University,American University,United States,TRUE,,#REF!,Too many missing datapoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,14,,9,,0,,0,Edited,0,,21,,0,,16,,11,,0,,0,Edited,0,,2,,123,,98,,16,,0,,29,,24,,8.785714286,#DIV/0!,#DIV/0!,0,#REF!,0,#REF!,0,#REF!,0,0.016260163,0.796747967
i-41493185,Amirkabir University of Technology,Amirkabir University of Technology,Iran Islamic Republic of,FALSE,,#REF!,Institution reported subject not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#REF!,#DIV/0!,#DIV/0!,#DIV/0!
i-66186283,Amity University Uttar Pradesh,Amity University,India,TRUE,,#REF!,Your institution did not meet the publication threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,77,,55,,6,,0,,0,,0,,0,,0,,0,,0,,4437000,,2,,5,,665,,427,,52,,0,,0,,0,,8.636363636,#DIV/0!,#DIV/0!,0,#REF!,57623.37662,#REF!,0,#REF!,0.025974026,0.007518797,0.642105263
i-83636282,Amrita University,Amrita University,India,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,Imputed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,523,111,27.79,74.32,0,Edited,879,Edited,373,,26,,3,,0,Edited,271,,0,,0,,0,,0,Edited,112,Edited,135,,22,,2762,,1997,,349,,0,,0,,0,,3.142207053,116.3333333,293,0,#REF!,0.12741752,#REF!,0,#REF!,0,0.007965243,0.723026792
i-57509481,Anadolu University,Anadolu University,Turkey,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,296,73,8.9,25.24,0,Edited,146,,77,,18,,2,Edited,5158690.32,,33,,0,,94,,62,,261287.97,,1198038.97,,0,Edited,7,,1360,,653,,277,,0,,550,,240,,9.315068493,138.5,73,35333.49534,#REF!,8205.74637,#REF!,1789.64363,#REF!,0,0.005147059,0.480147059
i-34163291,Andhra University,Andhra University,India,TRUE,,#REF!,Too many missing datapoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,24,,7,,88,,54,,0,,73,,0,,78,,53,,0,,4780000,,13,,0,,572,,343,,32,,0,,71,,43,,23.83333333,0.592592593,0.444444444,0,#REF!,199166.6667,#REF!,0,#REF!,0,0,0.59965035
i-64952081,Anglia Ruskin University,Anglia Ruskin University,United Kingdom,TRUE,,#REF!,Your institution did not meet the publication threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.31,,153.2,,102.57,,17.55,,5,,0,,74,,53.25,,76,,55.3,,6000,,519000,,8.15,,778.69,,4235.26,,3300.38,,657,,170.65,,1006.6,,774.8,,27.64530026,131.4,30.64,0,#REF!,3387.72846,#REF!,39.16449086,#REF!,0.08035248,0.183858842,0.779262666
i-20663973,Ankara University,Ankara University,Turkey,TRUE,,#REF!,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2882,483,6.58,16.59,1,,1273,,676,,128,,76,,0,Edited,50,,14,,285,,126,,0,Edited,0,Edited,635,,334,,8254,,5019,,1178,,47,,1616,,1107,,6.483896308,15.5,16.75,0,#REF!,0,#REF!,0,#REF!,0.000785546,0.040465229,0.608068815
